,stardate,color,name,species,position,rank,designation,description,source,color_group
169,2374,grey,"Watters, Tim",Human,CORed Squad Cadet,Captain,Other/No Designation,Died in the destruction of the USS Valiant,"DS9: ""Valiant""",Gray
170,2375,#5B1414,"Larkin, Nadia",Human,,Lieutenant,Other/No Designation,Killed in battle against Jem'Hadar troops,"DS9: ""The Siege of AR-558""",Red
171,2375,#5B1414,Loomis,,Commanding officer,Captain,Other/No Designation,Killed in battle against Jem'Hadar troops,"DS9: ""The Siege of AR-558""",Red
172,2375,#AD722C,Kellin,Human,,Crewman,Other/No Designation,Killed in battle against Jem'Hadar troops,"DS9: ""The Siege of AR-558""",Yellow
173,2375,#143F48,McGreevey,,,Unknown Rank,Other/No Designation,Killed in battle against Jem'Hadar troops,"DS9: ""The Siege of AR-558""",Green/Blue
174,2375,transparent,Parker,,,Commander,Other/No Designation,Killed in battle against Jem'Hadar troops,"DS9: ""The Siege of AR-558""",Unknown/Other
175,2375,#AD722C,Vargas,Human,,Crewman,Other/No Designation,Killed in battle against Jem'Hadar troops,"DS9: ""The Siege of AR-558""",Yellow
176,2371,#8C212B,Cavit,Human,XO,Lieutenant Commander,Other/No Designation,Killed when Voyager was pulled into the Delta Quadrant,"VOY: ""Caretaker""",Red
177,2371,#AD722C,"Durst, Pete",Human,Security officer,Lieutenant,Other/No Designation,Killed by Sulan,"VOY: ""Faces""",Yellow
178,2371,#8C212B,Stadi,Betazoid,Flight Controller,Lieutenant,Other/No Designation,Killed when Voyager was pulled into the Delta Quadrant,"VOY: ""Caretaker""",Red
179,2371,#AD722C,"Torres, B'Elanna",Klingon,Chief engineer,Lieutenant junior grade,Other/No Designation,Fully Klingon version killed by Sulan,"VOY: ""Faces""",Yellow
180,2371,#143F48,Unidentified,Human,CMO,Lieutenant Commander,Other/No Designation,Killed when Voyager was pulled into the Delta Quadrant,"VOY: ""Caretaker""",Green/Blue
181,2371,#143F48,Unidentified,Vulcan,Nurse,Unknown Rank,Other/No Designation,Killed when Voyager was pulled into the Delta Quadrant,"VOY: ""Caretaker""",Green/Blue
182,2371,blank,Unidentified,Human,Crewman,Unknown Rank,Other/No Designation,Killed when Voyager was pulled into the Delta Quadrant,"VOY: ""Caretaker""",Unknown/Other
183,2372,#AD722C,"Bendera, Kurt",Human,Engineer,Crewman,Other/No Designation,A console exploded in his face during a Kazon attack,"VOY: ""Alliances""",Yellow
184,2372,#AD722C,Bennet,Human,Shuttle pilot,Ensign,Other/No Designation,Killed in a shuttle crash,"VOY: ""Innocence""",Yellow
185,2372,#AD722C,"Darwin, Frank",Human,Engineer,Crewman,Other/No Designation,Killed by Lon Suder,"VOY: ""Meld""",Yellow
186,2372,#AD722C,"Kim, Harry",Human,Operations Officer,Ensign,Other/No Designation,Killed after being blown through a hull breach; replaced by duplicate,"VOY: ""Deadlock""",Yellow
187,2372,#AD722C,"Jonas, Michael",Human,Engineer,Crewman,Other/No Designation,"Killed when he fell into a plasma fire, near Voyager's warp core","VOY: ""Investigations""",Yellow
188,2372,#AD722C,Tuvix,Vulcan/Talaxian Hybrid,"Tactical officer, Chef",Lieutenant,Other/No Designation,"""Murdered"" by Kathryn Janeway to restore Tuvok and Neelix","VOY: ""Tuvix""",Yellow
189,2372,#AD722C,Unidentified,Human,Security officer,Unknown Rank,Other/No Designation,Killed when Teirna committed suicide bombing,"VOY: ""Basics, Part I""",Yellow
190,2372,#AD722C,Unidentified,Human,Crewman,Unknown Rank,Other/No Designation,Killed by the invading Kazon-Nistrim,"VOY: ""Basics, Part I""",Yellow
191,2373,#AD722C,Hogan,Human,Engineer,Ensign,Other/No Designation,Killed by a Hanonian land eel,"VOY: ""Basics, Part II""",Yellow
192,2373,#AD722C,"Jetal, Ahni",Human,Shuttle pilot,Ensign,Other/No Designation,Killed on an away mission by massive synaptic failure,"VOY: ""Latent Image""",Yellow
193,2373,#AD722C,"Kaplan, Marie",Human,Shuttle pilot,Ensign,Other/No Designation,Killed by former Borg drones on a planet in the Nekrit Expanse,"VOY: ""Unity""",Yellow
194,2373,#AD722C,Martin,Human,Transporter operator,Ensign,Other/No Designation,"Killed by Kes, while she was possessed by Tieran","VOY: ""Warlord""",Yellow
195,2373,#AD722C,Seska,Cardassian,Crewman,Ensign,Other/No Designation,Killed when Voyager was retaken from the Kazon-Nistrim,"VOY: ""Basics, Part II""",Yellow
196,2373,#AD722C,"Suder, Lon",Betazoid,Crewman,Enlisted,Other/No Designation,Killed while helping retake Voyager from the Kazon-Nistrim,"VOY: ""Basics, Part II""",Yellow
197,2373,#143F48,Unidentified,Human,Crewman,Unknown Rank,Other/No Designation,Killed by a Hanonian land eel in a cave on Hanon IV,"VOY: ""Basics, Part II""",Green/Blue
198,2373,#AD722C,Unidentified,Human,Crewman,Unknown Rank,Other/No Designation,Killed by a Swarm species alien,"VOY: ""The Swarm""",Yellow
199,2374,#AD722C,"Ballard, Lyndsay",Human,Engineer,Ensign,Other/No Designation,Killed by a Hirogen neural disruptor; later reanimated as Jhet'leya,"VOY: ""Ashes to Ashes""",Yellow
200,2374,#AD722C,Unidentified,Human,,Crewman,Other/No Designation,Killed by a Srivani experiment,"VOY: ""Scientific Method""",Yellow
201,2374,#AD722C,Unidentified,Human,,Ensign,Other/No Designation,Burned to death as a result of exposure of subnucleonic radiation,"VOY: ""One""",Yellow
202,2378,#AD722C,"Carey, Joe",Human,Assistant Chief Engineer,Lieutenant,Other/No Designation,Murdered by Verin,"VOY: ""Friendship One""",Yellow
203,2374,#AD722C,Unnamed,Human,,Chief petty officer,Other/No Designation,Killed by severe phaser burns of the Romulans,"VOY: ""Message in a Bottle""",Yellow
204,2374,#AD722C,Unnamed,Human,,Officer,Other/No Designation,Killed by severe phaser burns of the Romulans,"VOY: ""Message in a Bottle""",Yellow
205,2376,transparent,"Amantes, David",,,Crewman,Other/No Designation,Killed during an attack by nucleogenic lifeforms,"VOY: ""Equinox""",Unknown/Other
206,2376,transparent,"Chang, Dorothy",,,Ensign,Other/No Designation,Killed during an attack by nucleogenic lifeforms,"VOY: ""Equinox""",Unknown/Other
207,2376,transparent,"Bowler, John",,,Lieutenant,Other/No Designation,Killed during an attack by nucleogenic lifeforms,"VOY: ""Equinox""",Unknown/Other
208,2376,transparent,"Yates, William",,,Lieutenant,Other/No Designation,Killed during an attack by nucleogenic lifeforms,"VOY: ""Equinox""",Unknown/Other
209,2376,transparent,"Regis, Edward",,,Ensign,Other/No Designation,Killed during an attack by nucleogenic lifeforms,"VOY: ""Equinox""",Unknown/Other
210,2376,#8C212B,"Burke, Maxwell",Human,XO,Lieutenant,Other/No Designation,Killed by nucleogenic lifeforms while trying to get to the Equinox's shuttlebay,"VOY: ""Equinox, Part II""",Red
211,2376,#8C212B,"Ransom, Rudolph",Human,Commanding officer,Captain,Other/No Designation,Killed when the Equinox was destroyed,"VOY: ""Equinox, Part II""",Red
212,2376,#143F48,Thompson,Human,,Crewman,Other/No Designation,Killed by nucleogenic lifeforms while trying to get to the Equinox's shuttlebay,"VOY: ""Equinox, Part II""",Green/Blue
213,2354,#FEFEFE,"Crusher, Jack",Human,USS Stargazer,Lieutenant Commander,Other/No Designation,Killed on an away mission in an accident,"TNG: ""Encounter at Farpoint""",White
214,2357,#FEFEFE,"Rossa, Connor",Human,Galen IV,Lieutenant Commander,Other/No Designation,Killed during a Talarian raid,"TNG: ""Suddenly Human""",White
215,2364,gold,"Jameson, Mark",Human,AdmiraltyStarfleet Command,Rear Admiral,Other/No Designation,Died from side effects of a de-aging treatment from Cerberus II,"TNG: ""Too Short a Season""",Yellow
216,2364,#8C212B,"Rice, Paul",Human,Commanding Officer,Captain,Other/No Designation,Killed when his ship was destroyed by the Minosian weaponry.,"TNG: ""The Arsenal of Freedom""",Red
217,2368,black,"Albert, Joshua",Human,Nova SquadronStarfleet Academy,Cadet,Other/No Designation,Killed while attempting to perform the banned Kolvoord Starburst maneuver,"TNG: ""The First Duty""",Black
218,2371,#FEFEFE,"Kirk, James Tiberius",Human,Inactive (retired),Captain,Other/No Designation,Crushed under a bridge after saving the Veridian system,Star Trek Generations,White
219,2387,transparent,Spock,Human/Vulcan hybrid,"Commanding officer,Jellyfish",Ambassador,Other/No Designation,Jellyfish pulled into black hole; listed as MIA,Star Trek,Unknown/Other
220,2374,Unknown/Other,Emmanuel,Human,,Unknown Rank,Other/No Designation,Killed during the explosion of deck 5 in an alternate timeline,"VOY: ""Year of Hell""",Unknown/Other
221,2374,#8C212B,Strickler,Human,,Ensign,Other/No Designation,Killed during the explosion of deck 5 in an alternate timeline,"VOY: ""Year of Hell""",Red
222,2374,#143F48,Unidentified,Human,Bridge officer,Unknown Rank,Other/No Designation,"Killed during an attack of a Krenim warship, died on the bridge","VOY: ""Year of Hell""",Green/Blue
223,2374,#5B1414,"Janeway, Kathryn",Human,"Commanding officer,USS Voyager",Captain,Other/No Designation,Died in the explosion when she set a collision course into the Krenim weapon ship,"VOY: ""Year of Hell, Part II""",Red
